SCORE:,score,fa_atr,fa_rep,fa_sol,fa_intra_rep,fa_elec,pro_close,hbond_sr_bb,hbond_lr_bb,hbond_bb_sc,hbond_sc,dslf_fa13,rama,omega,fa_dun,p_aa_pp,ref,allatom_rms,gdtmm,gdtmm1_1,gdtmm2_2,gdtmm3_3,gdtmm4_3,gdtmm7_4,irms,maxsub,maxsub2.0,rms,description
SCORE:,1302.848,-1064.767,1353.043,591.820,2.598,-71.173,96.991,-75.659,-38.124,-22.127,-12.833,0.000,-10.747,65.908,498.011,-16.974,6.881,2.575,0.952,0.936,0.943,0.943,0.957,0.982,0.000,277.000,273.000,2.487,2WUF.trim.pdbA_0001_0001
SCORE:,22951.777,-1130.119,22680.035,604.487,3.298,-72.826,75.750,-75.659,-37.261,-22.146,-12.718,0.000,-9.836,117.712,825.504,-16.230,21.787,3.355,0.948,0.940,0.947,0.947,0.950,0.954,0.000,269.000,269.000,3.118,2WUF.trim.pdbA_0002_0001
SCORE:,7373.300,-1076.619,7402.092,604.659,2.610,-75.309,92.385,-75.659,-37.779,-22.939,-13.707,0.000,-10.302,99.126,495.859,-19.151,8.036,2.639,0.949,0.936,0.943,0.943,0.950,0.972,0.000,274.000,273.000,2.571,2WUF.trim.pdbA_0001_0001
SCORE:,20098.504,-1118.423,19858.599,602.174,3.298,-74.661,75.750,-75.659,-37.261,-22.206,-12.791,0.000,-9.529,63.582,841.061,-17.217,21.787,2.888,0.953,0.940,0.947,0.947,0.954,0.979,0.000,276.000,275.000,2.656,2WUF.trim.pdbA_0002_0001
SCORE:,1872.614,-1062.604,1892.086,589.945,2.612,-75.091,97.736,-76.201,-37.563,-22.566,-13.193,0.000,-10.461,104.048,495.898,-21.138,9.105,2.567,0.952,0.936,0.943,0.943,0.957,0.979,0.000,276.000,276.000,2.462,2WUF.trim.pdbA_0001_0001
SCORE:,2999.921,-1070.850,3056.635,598.801,2.598,-76.641,75.613,-75.659,-37.261,-22.882,-13.374,0.000,-10.794,88.343,495.472,-19.012,8.932,2.788,0.948,0.936,0.943,0.943,0.950,0.968,0.000,273.000,270.000,2.754,2WUF.trim.pdbA_0002_0001
SCORE:,12744.237,-1091.330,12478.618,589.554,3.298,-73.214,75.750,-75.659,-37.261,-22.070,-12.719,0.000,-10.214,73.269,842.035,-17.606,21.787,3.378,0.946,0.936,0.943,0.943,0.947,0.961,0.000,271.000,271.000,3.073,2WUF.trim.pdbA_0001_0001
SCORE:,1526.335,-1060.474,1586.021,589.700,2.630,-73.444,75.721,-75.659,-38.015,-22.143,-12.825,0.000,-10.912,82.588,495.040,-18.228,6.336,2.625,0.953,0.936,0.943,0.943,0.961,0.982,0.000,277.000,275.000,2.522,2WUF.trim.pdbA_0002_0001
SCORE:,17388.837,-1116.820,17143.654,597.020,3.298,-71.550,75.750,-75.659,-37.261,-22.090,-12.719,0.000,-10.902,77.749,832.436,-15.856,21.787,3.380,0.946,0.936,0.943,0.943,0.947,0.961,0.000,271.000,271.000,3.035,2WUF.trim.pdbA_0001_0001
SCORE:,2447.684,-1064.087,2503.084,590.336,2.587,-75.546,104.958,-76.418,-37.936,-23.108,-13.307,0.000,-9.856,62.992,491.309,-19.829,12.505,2.607,0.952,0.936,0.943,0.943,0.954,0.982,0.000,277.000,274.000,2.580,2WUF.trim.pdbA_0002_0001
